"sentiment_score","keyword","keyword_count"
"0.9","mass vaccination site","1"
"0.9","global pandemic","1"
"0.9","Werlabs","2"
"0.9","Kistamässan","1"
"0.9","exhibition hall","2"
"0.9","hand sanitizer","3"
"0.9","mouth protection","2"
"0.9","quick and friendly staff","1"
"0.9","booths","1"
"0.9","vaccine bus","1"
"0.9","Kafka-esque giant hall","1"
"0.9","side effects","1"
"0.9","queue","3"
"0.9","well-functioning and efficient device","1"
"0.9","vaccination","16"
"0.9","knowledgeable","2"
"0.9","information","2"
"0.9","organized","12"
"0.9","flexible","4"
"0.1","fair","1"
"0.1","activity","1"
"0.1","Manager","1"
"0.1","wardrobe","1"
"0.1","experience","2"
"0.1","stalls","1"
"-0.4","one stall","1"
"-0.4","several stalls","1"
"-0.4","finish time","1"
"-0.4","car","1"
"0.65","payment","1"
"0.65","elevator","1"
"0.65","roller steps","1"
"0.9","yellow note","1"
"0.9","quarter of an hour","1"
"0.75","stand in line","1"
"0.75","smooth","1"
"0.3","dinosaurs","1"
"0.7","Top","1"
"1","well-oiled machine","1"
"0.9","distance","2"
"0.1","hook","1"
"-0.4","queue on the far right","1"
"-0.4","helpful","1"
"-0.4","nice","1"
"0.65","Hotel Scandic Klaran","1"
"0.9","parking apps","1"
"0.9","painlessly","1"
"0.9","second injection","1"
"0.75","mother","1"
"0.75","30 minutes","1"
"0.3","two-hour parking lots","1"
"0","concrete ceiling","1"
"0.7","Airy","2"
"0.7","plenty of space","1"
"1","organized","3"
"1","10 people/minute","1"
"0.75","entrance","2"
"0.9","Time","1"
"-0.85","People walk","1"
"0.2","bring people in","1"
"0.85","Orminge","1"
"-0.2","app","1"
"0.9","large area","1"
"-0.85","Arabic concert","1"
"0.9","health fair","1"
"0.9","staff","10"
"0.1","effective","1"
"0.1","bag","1"
"0.1","premises","3"
"0.1","taste","1"
"-0.4","stand in line","1"
"-0.4","arranged strangely","1"
"-0.4","queue on the far left","1"
"-0.4","messed up","1"
"-0.4","fat bot","1"
"0.65","souvenir","1"
"0.65","app","1"
"0.65","food zone","1"
"0.75","appointment","1"
"0.75","admitted","1"
"0.3","summer 2023","1"
"0","fairs","2"
"1","vaccinate","1"
"0.75","park","1"
"-0.2","parking","2"
"-0.2","jaw","1"
"-0.9","poor restaurants","1"
"0.9","airport","1"
"0.9","Stockholm","3"
"0.9","line","2"
"0.1","careless","1"
"-0.4","choose the right queue","1"
"0.65","dinosaur exhibition","1"
"0.65","interactive","1"
"0.65","children","1"
"0.65","knowledge parts","1"
"0.65","parking lot","1"
"0.65","exhibition center","1"
"0.65","halls","1"
"0.65","Kista Galleria shopping center","1"
"0.9","car parks","1"
"0.75","injection","1"
"0.75","fast","1"
"0.75","well managed","1"
"0.3","spacious","1"
"0.3","Apcoa flow","1"
"0.3","money saving","1"
"0","improvements","1"
"0","star","1"
"1","rate","1"
"0.05","vaccination","1"
"0.05","friendly staff","1"
"0.75","toilets","1"
"0.85","sandwiches","1"
"0.85","gelato","1"
"-0.2","car","1"
"-0.2","Neighbor car","1"
"0.9","rest hall","1"
"0.9","vaccine","3"
"0.9","order","1"
"-0.2","guest","1"
"-0.2","clearer markings","1"
"0.9","serving","1"
"-0.2","good indoor climate","1"
"-0.2","lunch and dinner service","1"
"-0.2","food replenished","1"
"-0.9","fairs","1"
"-0.9","business village","1"
"-0.9","nothing to do","1"
"-0.3","vaccination","1"
"0.75","fair","1"
"0.75","Thursday","1"
"-0.65","parking company","1"
"0.9","perfectly","1"
"-0.85","SEK 1","1"
"-0.85","not enjoy","1"
"0.25","time","1"
"-0.45","better rating","1"
"-0.45","entrance","1"
"-0.45","Kistamässan","1"
"-0.45","problem","1"
"-0.2","Swedish standards","1"
"0.85","organized","2"
"0.95","Werlab's vaccination","1"
"0.95","Recommended","1"
"0.1","ladies' toilet","1"
"-0.4","queues","1"
"0.65","game sequences","1"
"0.9","Covid 19 vaccination","1"
"0.9","huge hall","1"
"0.3","fairs","1"
"0.3","Lego fair","1"
"0","upstart","1"
"0","Corona","1"
"0.05","queues","1"
"0.05","checkpoints","1"
"0.75","staff","1"
"0.75","commuter train","2"
"0.85","Vällingby","1"
"0.9","health center","1"
"0.9","arrangement","1"
"0.9","service corridors","1"
"0.9","large number","1"
"0.9","stitch","1"
"-0.2","visitors","1"
"0.9","facilities","1"
"0.9","small convention","1"
"-0.2","no problems","1"
"-0.9","worst","1"
"-0.3","short distances","1"
"-0.3","fair","2"
"0.05","visitors","1"
"0.9","Swedish","1"
"0.25","Dinosaurs","1"
"0.7","hotels","1"
"-0.7","men without mouth protection","1"
"0.2","long queue","1"
"-0.15","cold","1"
"-0.15","helpful","1"
"-0.85","bad style","1"
"0.6","Sweden","1"
"0.9","lift","1"
"-0.2","subway ride","1"
"0.5","vaccination","1"
"0.75","hotel","1"
"-0.2","events","2"
"0.95","organized","1"
"0.2","service center","1"
"0.45","organised","1"
"-0.4","lunch","1"
"0.3","Dinosauria exhibit","1"
"0.75","train station","1"
"0.9","appointment","2"
"0.9","waiting","1"
"0.1","Personnel","1"
"-0.4","staff","1"
"-0.4","parking expired","1"
"0.65","stairs","1"
"0.9","well organized","8"
"0.75","frictionless","1"
"0.3","exhibition","1"
"0.3","large","1"
"0.3","toilets","1"
"0","Corona fatigue","1"
"0","communication","1"
"0.7","Good organization","2"
"0.05","atmosphere","1"
"0.05","tired","1"
"0.05","irritated","1"
"0.75","car","2"
"0.85","day trip","1"
"0.85","friendly and knowledgeable staff","1"
"-0.2","fine","1"
"0.9","Covid-19 vaccination service","1"
"0.9","accommodate","1"
"-0.2","nicer feeling","1"
"0.9","manage a crowd","1"
"-0.2","technology","1"
"-0.2","long queues","1"
"-0.9","hotel","1"
"-0.3","organized","1"
"-0.3","risk","1"
"-0.3","stress","1"
"0.75","exhibitors","1"
"0.75","El fair","1"
"0.9","efficiently","2"
"-0.85","stage","1"
"-0.85","leave everything","1"
"0.7","public transport","2"
"0.7","frequently","1"
"0.3","exhibitors","1"
"0.3","disabled fair","1"
"-0.7","organized","1"
"-0.15","big","1"
"-0.85","everyone else","1"
"0.6","huge surfaces","1"
"0.9","recommended","3"
"-0.4","rating","1"
"0.9","quickly","7"
"0.9","nurse","3"
"0.9","completed","1"
"0.75","syringe","1"
"0.75","text message","1"
"0.75","vaccination","4"
"0.75","15 minutes","1"
"0.3","exhibition hall","2"
"0.3","parking spaces","1"
"0","acoustics","1"
"1","people","1"
"1","efficiently","1"
"1","distance","2"
"1","effective","2"
"1","Japan","1"
"0.05","water","1"
"0.05","seating area","1"
"0.05","vaccination booth","1"
"0.05","stressed","1"
"0.05","safer treatment","1"
"0.75","food options","1"
"0.75","larger events","1"
"0.85","premises","1"
"0.85","goblet of ice cream","1"
"-0.2","vaccination","1"
"0.9","safety","1"
"0.9","morning","1"
"0.9","parking","3"
"0.9","rest","1"
"-0.2","exhibitor","1"
"0.9","vaccination centers","1"
"0.9","orderly","1"
"0.9","well-organized","1"
"-0.2","Great conferencing","1"
"-0.9","fairground","1"
"-0.9","immediate area","1"
"-0.3","entrance","1"
"-0.3","visitors","1"
"-0.3","irrational","1"
"-0.3","signage","1"
"-0.3","car park","1"
"0.75","questions","1"
"0.75","Wednesday","1"
"0.75","next year","1"
"0.05","food","1"
"0.05","restaurant","1"
"0.05","fair","1"
"0.05","toilets","1"
"0.05","last day","1"
"0.05","quieter","1"
"-0.65","fair","2"
"-0.65","parking fine","1"
"0.9","professional","2"
"0.9","government officials","1"
"0.8","Fastfood & Cafe & Resturant expo2024","1"
"0.8","entrepreneurs","1"
"0.8","environment","1"
"0.8","organized","5"
"0.8","weather","1"
"-0.85","bad placement of seats","1"
"-0.85","050","1"
"-0.85","freeze","1"
"-0.85","struggle to see","1"
"0.25","rideable","1"
"0.25","toys","1"
"0.25","strategically placed","1"
"0.7","fair","5"
"0.7","Stockholm's fair","1"
"0.7","Älvsjö","1"
"0.7","railway station","1"
"0.7","Centralen","1"
"0.3","Kista convention center","1"
"0.3","rating","1"
"-0.45","young staff","1"
"-0.45","strenuous","1"
"-0.45","dialogue with people","1"
"-0.45","main entrance","1"
"-0.45","ticket online","1"
"-0.1","straight corridors","1"
"-0.1","search area","1"
"-0.1","free skaters","1"
"-0.7","efficient","1"
"-0.7","disrespectful","1"
"-0.7","nonchalant","1"
"-0.7","workers","1"
"-0.7","mouthguards","1"
"-0.7","available on site","1"
"0.2","spacious premises","1"
"0.2","3000 people","1"
"0.2","street","1"
"0.2","30 minutes","1"
"-0.15","fairs","1"
"-0.15","staff","1"
"-0.15","nicer","1"
"-0.85","long queue","1"
"-0.85","vaccinated","1"
"-0.85","good vaccine","1"
"0.6","largest exhibition facilities","1"
"0.6","functional concept","1"
"0.6","good standard","1"
"0.6","money","1"
"0.6","equipment","1"
"0.6","rent","1"
"0.9","excellent venue","1"
"0.9","escalator","1"
"0.9","jacket","1"
"-0.2","last visit","1"
"-0.2","unbearable","1"
"-0.2","main hall","1"
"-0.2","headsets","1"
"1","perfection","1"
"1","signs","1"
"1","premises","2"
"1","vaccination","8"
"1","calm","1"
"1","safe","3"
"0.7","exhibitors","1"
"0.7","real estate show","1"
"0.7","staffed","1"
"0.1","vaccinated","1"
"0.1","nice","2"
"0.5","daughter","1"
"0.5","fast","1"
"0.5","neat","1"
"0.5","safe","1"
"0.5","adults","1"
"0.5","Pleasant treatment","1"
"0.9","appetite","1"
"0.85","nice place","1"
"0.85","tall building","1"
"0.75","Good fair","1"
"0.75","lecture halls","1"
"0.75","expensive parking","1"
"0.75","communications","1"
"0.75","subway","1"
"-0.2","logistics nightmare","1"
"-0.2","limited bottleneck","1"
"-0.2","entrypoint","1"
"-0.2","loading area","1"
"-0.25","small","1"
"-0.25","parking lot","1"
"-0.25","poor signage","1"
"0.25","larger motor home","1"
"0.95","process","1"
"0.95","nice","1"
"0.95","friendly staff","1"
"0.8","Comic Con","1"
"0.8","entrance tickets","1"
"0.2","feeling bad","1"
"0.2","6 month pregnant","1"
"0.2","feel better","1"
"0.2","grateful","1"
"0.2","thoughtful design","1"
"0.2","building","1"
"0.9","close to the center","1"
"-0.5","ineffective","1"
"0.85","Kistamässan","2"
"-0.75","organized","1"
"0.9","huge queue","1"
